tench,"tench, Tinca tinca"
goldfish,"goldfish, Carassius auratus"
great white shark,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias"
tiger shark,"tiger shark, Galeocerdo cuvieri"
hammerhead shark,"hammerhead, hammerhead shark"
electric ray,"electric ray, crampfish, numbfish, torpedo"
stingray,stingray
rooster,cock
hen,hen
ostrich,"ostrich, Struthio camelus"
brambling,"brambling, Fringilla montifringilla"
goldfinch,"goldfinch, Carduelis carduelis"
house finch,"house finch, linnet, Carpodacus mexicanus"
junco,"junco, snowbird"
indigo bunting,"indigo bunting, indigo finch, indigo bird, Passerina cyanea"
American robin,"robin, American robin, Turdus migratorius"
bulbul,bulbul
jay,jay
magpie,magpie
chickadee,chickadee
American dipper,"water ouzel, dipper"
kite (bird of prey),kite
bald eagle,"bald eagle, American eagle, Haliaeetus leucocephalus"
vulture,vulture
great grey owl,"great grey owl, great gray owl, Strix nebulosa"
fire salamander,"European fire salamander, Salamandra salamandra"
smooth newt,"common newt, Triturus vulgaris"
newt,eft
spotted salamander,"spotted salamander, Ambystoma maculatum"
axolotl,"axolotl, mud puppy, Ambystoma mexicanum"
American bullfrog,"bullfrog, Rana catesbeiana"
tree frog,"tree frog, tree-frog"
tailed frog,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
loggerhead sea turtle,"loggerhead, loggerhead turtle, Caretta caretta"
leatherback sea turtle,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
mud turtle,mud turtle
terrapin,terrapin
box turtle,"box turtle, box tortoise"
banded gecko,banded gecko
green iguana,"common iguana, iguana, Iguana iguana"
Carolina anole,"American chameleon, anole, Anolis carolinensis"
desert grassland whiptail lizard,"whiptail, whiptail lizard"
agama,agama
frilled-necked lizard,"frilled lizard, Chlamydosaurus kingi"
alligator lizard,alligator lizard
Gila monster,"Gila monster, Heloderma suspectum"
European green lizard,"green lizard, Lacerta viridis"
chameleon,"African chameleon, Chamaeleo chamaeleon"
Komodo dragon,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis"
Nile crocodile,"African crocodile, Nile crocodile, Crocodylus niloticus"
American alligator,"American alligator, Alligator mississipiensis"
triceratops,triceratops
worm snake,"thunder snake, worm snake, Carphophis amoenus"
ring-necked snake,"ringneck snake, ring-necked snake, ring snake"
eastern hog-nosed snake,"hognose snake, puff adder, sand viper"
smooth green snake,"green snake, grass snake"
kingsnake,"king snake, kingsnake"
garter snake,"garter snake, grass snake"
water snake,water snake
vine snake,vine snake
night snake,"night snake, Hypsiglena torquata"
boa constrictor,"boa constrictor, Constrictor constrictor"
African rock python,"rock python, rock snake, Python sebae"
Indian cobra,"Indian cobra, Naja naja"
green mamba,green mamba
sea snake,sea snake
Saharan horned viper,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus"
eastern diamondback rattlesnake,"diamondback, diamondback rattlesnake, Crotalus adamanteus"
sidewinder rattlesnake,"sidewinder, horned rattlesnake, Crotalus cerastes"
trilobite,trilobite
harvestman,"harvestman, daddy longlegs, Phalangium opilio"
scorpion,scorpion
yellow garden spider,"black and gold garden spider, Argiope aurantia"
barn spider,"barn spider, Araneus cavaticus"
European garden spider,"garden spider, Aranea diademata"
southern black widow,"black widow, Latrodectus mactans"
tarantula,tarantula
wolf spider,"wolf spider, hunting spider"
tick,tick
centipede,centipede
black grouse,black grouse
ptarmigan,ptarmigan
ruffed grouse,"ruffed grouse, partridge, Bonasa umbellus"
prairie grouse,"prairie chicken, prairie grouse, prairie fowl"
peafowl,peacock
quail,quail
partridge,partridge
african grey parrot,"African grey, African gray, Psittacus erithacus"
macaw,macaw
sulphur-crested cockatoo,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita"
lorikeet,lorikeet
coucal,coucal
bee eater,bee eater
hornbill,hornbill
hummingbird,hummingbird
jacamar,jacamar
toucan,toucan
duck,drake
red-breasted merganser,"red-breasted merganser, Mergus serrator"
goose,goose
black swan,"black swan, Cygnus atratus"
tusker,tusker
echidna,"echidna, spiny anteater, anteater"
platypus,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"
wallaby,"wallaby, brush kangaroo"
koala,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
wombat,wombat
jellyfish,jellyfish
sea anemone,"sea anemone, anemone"
brain coral,brain coral
flatworm,"flatworm, platyhelminth"
nematode,"nematode, nematode worm, roundworm"
conch,conch
snail,snail
slug,slug
sea slug,"sea slug, nudibranch"
chiton,"chiton, coat-of-mail shell, sea cradle, polyplacophore"
chambered nautilus,"chambered nautilus, pearly nautilus, nautilus"
Dungeness crab,"Dungeness crab, Cancer magister"
rock crab,"rock crab, Cancer irroratus"
fiddler crab,fiddler crab
red king crab,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica"
American lobster,"American lobster, Northern lobster, Maine lobster, Homarus americanus"
spiny lobster,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish"
crayfish,"crayfish, crawfish, crawdad, crawdaddy"
hermit crab,hermit crab
isopod,isopod
white stork,"white stork, Ciconia ciconia"
black stork,"black stork, Ciconia nigra"
spoonbill,spoonbill
flamingo,flamingo
little blue heron,"little blue heron, Egretta caerulea"
great egret,"American egret, great white heron, Egretta albus"
bittern bird,bittern
crane bird,crane bird
limpkin,"limpkin, Aramus pictus"
common gallinule,"European gallinule, Porphyrio porphyrio"
American coot,"American coot, marsh hen, mud hen, water hen, Fulica americana"
bustard,bustard
ruddy turnstone,"ruddy turnstone, Arenaria interpres"
dunlin,"red-backed sandpiper, dunlin, Erolia alpina"
common redshank,"redshank, Tringa totanus"
dowitcher,dowitcher
oystercatcher,"oystercatcher, oyster catcher"
pelican,pelican
king penguin,"king penguin, Aptenodytes patagonica"
albatross,"albatross, mollymawk"
grey whale,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus"
killer whale,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
dugong,"dugong, Dugong dugon"
sea lion,sea lion
Chihuahua,Chihuahua
Japanese Chin,Japanese spaniel
Maltese,"Maltese dog, Maltese terrier, Maltese"
Pekingese,"Pekinese, Pekingese, Peke"
Shih Tzu,Shih-Tzu
King Charles Spaniel,Blenheim spaniel
Papillon,papillon
toy terrier,toy terrier
Rhodesian Ridgeback,Rhodesian ridgeback
Afghan Hound,"Afghan hound, Afghan"
Basset Hound,"basset, basset hound"
Beagle,beagle
Bloodhound,"bloodhound, sleuthhound"
Bluetick Coonhound,bluetick
Black and Tan Coonhound,black-and-tan coonhound
Treeing Walker Coonhound,"Walker hound, Walker foxhound"
English foxhound,English foxhound
Redbone Coonhound,redbone
borzoi,"borzoi, Russian wolfhound"
Irish Wolfhound,Irish wolfhound
Italian Greyhound,Italian greyhound
Whippet,whippet
Ibizan Hound,"Ibizan hound, Ibizan Podenco"
Norwegian Elkhound,"Norwegian elkhound, elkhound"
Otterhound,"otterhound, otter hound"
Saluki,"Saluki, gazelle hound"
Scottish Deerhound,"Scottish deerhound, deerhound"
Weimaraner,Weimaraner
Staffordshire Bull Terrier,"Staffordshire bullterrier, Staffordshire bull terrier"
American Staffordshire Terrier,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"
Bedlington Terrier,Bedlington terrier
Border Terrier,Border terrier
Kerry Blue Terrier,Kerry blue terrier
Irish Terrier,Irish terrier
Norfolk Terrier,Norfolk terrier
Norwich Terrier,Norwich terrier
Yorkshire Terrier,Yorkshire terrier
Wire Fox Terrier,wire-haired fox terrier
Lakeland Terrier,Lakeland terrier
Sealyham Terrier,"Sealyham terrier, Sealyham"
Airedale Terrier,"Airedale, Airedale terrier"
Cairn Terrier,"cairn, cairn terrier"
Australian Terrier,Australian terrier
Dandie Dinmont Terrier,"Dandie Dinmont, Dandie Dinmont terrier"
Boston Terrier,"Boston bull, Boston terrier"
Miniature Schnauzer,miniature schnauzer
Giant Schnauzer,giant schnauzer
Standard Schnauzer,standard schnauzer
Scottish Terrier,"Scotch terrier, Scottish terrier, Scottie"
Tibetan Terrier,"Tibetan terrier, chrysanthemum dog"
Australian Silky Terrier,"silky terrier, Sydney silky"
Soft-coated Wheaten Terrier,soft-coated wheaten terrier
West Highland White Terrier,West Highland white terrier
Lhasa Apso,"Lhasa, Lhasa apso"
Flat-Coated Retriever,flat-coated retriever
Curly-coated Retriever,curly-coated retriever
Golden Retriever,golden retriever
Labrador Retriever,Labrador retriever
Chesapeake Bay Retriever,Chesapeake Bay retriever
German Shorthaired Pointer,German short-haired pointer
Vizsla,"vizsla, Hungarian pointer"
English Setter,English setter
Irish Setter,"Irish setter, red setter"
Gordon Setter,Gordon setter
Brittany dog,Brittany spaniel
Clumber Spaniel,"clumber, clumber spaniel"
English Springer Spaniel,"English springer, English springer spaniel"
Welsh Springer Spaniel,Welsh springer spaniel
Cocker Spaniel,"cocker spaniel, English cocker spaniel, cocker"
Sussex Spaniel,Sussex spaniel
Irish Water Spaniel,Irish water spaniel
Kuvasz,kuvasz
Schipperke,schipperke
Groenendael dog,groenendael
Malinois,malinois
Briard,briard
Australian Kelpie,kelpie
Komondor,komondor
Old English Sheepdog,"Old English sheepdog, bobtail"
Shetland Sheepdog,"Shetland sheepdog, Shetland sheep dog, Shetland"
collie,collie
Border Collie,Border collie
Bouvier des Flandres dog,"Bouvier des Flandres, Bouviers des Flandres"
Rottweiler,Rottweiler
German Shepherd Dog,"German shepherd, German shepherd dog, German police dog, alsatian"
Dobermann,"Doberman, Doberman pinscher"
Miniature Pinscher,miniature pinscher
Greater Swiss Mountain Dog,Greater Swiss Mountain dog
Bernese Mountain Dog,Bernese mountain dog
Appenzeller Sennenhund,Appenzeller
Entlebucher Sennenhund,EntleBucher
Boxer,boxer
Bullmastiff,bull mastiff
Tibetan Mastiff,Tibetan mastiff
French Bulldog,French bulldog
Great Dane,Great Dane
St. Bernard,"Saint Bernard, St Bernard"
husky,"Eskimo dog, husky"
Alaskan Malamute,"malamute, malemute, Alaskan malamute"
Siberian Husky,Siberian husky
Dalmatian,"dalmatian, coach dog, carriage dog"
Affenpinscher,"affenpinscher, monkey pinscher, monkey dog"
Basenji,basenji
pug,"pug, pug-dog"
Leonberger,Leonberg
Newfoundland dog,"Newfoundland, Newfoundland dog"
Great Pyrenees dog,Great Pyrenees
Samoyed,"Samoyed, Samoyede"
Pomeranian,Pomeranian
Chow Chow,"chow, chow chow"
Keeshond,keeshond
brussels griffon,Brabancon griffon
Pembroke Welsh Corgi,"Pembroke, Pembroke Welsh corgi"
Cardigan Welsh Corgi,"Cardigan, Cardigan Welsh corgi"
Toy Poodle,toy poodle
Miniature Poodle,miniature poodle
Standard Poodle,standard poodle
Mexican hairless dog (xoloitzcuintli),Mexican hairless
grey wolf,"timber wolf, grey wolf, gray wolf, Canis lupus"
Alaskan tundra wolf,"white wolf, Arctic wolf, Canis lupus tundrarum"
red wolf or maned wolf,"red wolf, maned wolf, Canis rufus, Canis niger"
coyote,"coyote, prairie wolf, brush wolf, Canis latrans"
dingo,"dingo, warrigal, warragal, Canis dingo"
dhole,"dhole, Cuon alpinus"
African wild dog,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus"
hyena,"hyena, hyaena"
red fox,"red fox, Vulpes vulpes"
kit fox,"kit fox, Vulpes macrotis"
Arctic fox,"Arctic fox, white fox, Alopex lagopus"
grey fox,"grey fox, gray fox, Urocyon cinereoargenteus"
tabby cat,"tabby, tabby cat"
tiger cat,tiger cat
Persian cat,Persian cat
Siamese cat,"Siamese cat, Siamese"
Egyptian Mau,Egyptian cat
cougar,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor"
lynx,"lynx, catamount"
leopard,"leopard, Panthera pardus"
snow leopard,"snow leopard, ounce, Panthera uncia"
jaguar,"jaguar, panther, Panthera onca, Felis onca"
lion,"lion, king of beasts, Panthera leo"
tiger,"tiger, Panthera tigris"
cheetah,"cheetah, chetah, Acinonyx jubatus"
brown bear,"brown bear, bruin, Ursus arctos"
American black bear,"American black bear, black bear, Ursus americanus, Euarctos americanus"
polar bear,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
sloth bear,"sloth bear, Melursus ursinus, Ursus ursinus"
mongoose,mongoose
meerkat,"meerkat, mierkat"
tiger beetle,tiger beetle
ladybug,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle"
ground beetle,"ground beetle, carabid beetle"
longhorn beetle,"long-horned beetle, longicorn, longicorn beetle"
leaf beetle,"leaf beetle, chrysomelid"
dung beetle,dung beetle
rhinoceros beetle,rhinoceros beetle
weevil,weevil
fly,fly
bee,bee
ant,"ant, emmet, pismire"
grasshopper,"grasshopper, hopper"
cricket insect,cricket
stick insect,"walking stick, walkingstick, stick insect"
cockroach,"cockroach, roach"
praying mantis,"mantis, mantid"
cicada,"cicada, cicala"
leafhopper,leafhopper
lacewing,"lacewing, lacewing fly"
dragonfly,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"
damselfly,damselfly
red admiral butterfly,admiral
ringlet butterfly,"ringlet, ringlet butterfly"
monarch butterfly,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
small white butterfly,cabbage butterfly
sulphur butterfly,"sulphur butterfly, sulfur butterfly"
gossamer-winged butterfly,"lycaenid, lycaenid butterfly"
starfish,"starfish, sea star"
sea urchin,sea urchin
sea cucumber,"sea cucumber, holothurian"
cottontail rabbit,"wood rabbit, cottontail, cottontail rabbit"
hare,hare
Angora rabbit,"Angora, Angora rabbit"
hamster,hamster
porcupine,"porcupine, hedgehog"
fox squirrel,"fox squirrel, eastern fox squirrel, Sciurus niger"
marmot,marmot
beaver,beaver
guinea pig,"guinea pig, Cavia cobaya"
common sorrel horse,sorrel
zebra,zebra
pig,"hog, pig, grunter, squealer, Sus scrofa"
wild boar,"wild boar, boar, Sus scrofa"
warthog,warthog
hippopotamus,"hippopotamus, hippo, river horse, Hippopotamus amphibius"
ox,ox
water buffalo,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"
bison,bison
ram (adult male sheep),"ram, tup"
bighorn sheep,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
Alpine ibex,"ibex, Capra ibex"
hartebeest,hartebeest
impala (antelope),"impala, Aepyceros melampus"
gazelle,gazelle
arabian camel,"Arabian camel, dromedary, Camelus dromedarius"
llama,llama
weasel,weasel
mink,mink
European polecat,"polecat, fitch, foulmart, foumart, Mustela putorius"
black-footed ferret,"black-footed ferret, ferret, Mustela nigripes"
otter,otter
skunk,"skunk, polecat, wood pussy"
badger,badger
armadillo,armadillo
three-toed sloth,"three-toed sloth, ai, Bradypus tridactylus"
orangutan,"orangutan, orang, orangutang, Pongo pygmaeus"
gorilla,"gorilla, Gorilla gorilla"
chimpanzee,"chimpanzee, chimp, Pan troglodytes"
gibbon,"gibbon, Hylobates lar"
siamang,"siamang, Hylobates syndactylus, Symphalangus syndactylus"
guenon,"guenon, guenon monkey"
patas monkey,"patas, hussar monkey, Erythrocebus patas"
baboon,baboon
macaque,macaque
langur,langur
black-and-white colobus,"colobus, colobus monkey"
proboscis monkey,"proboscis monkey, Nasalis larvatus"
marmoset,marmoset
white-headed capuchin,"capuchin, ringtail, Cebus capucinus"
howler monkey,"howler monkey, howler"
titi monkey,"titi, titi monkey"
Geoffroy's spider monkey,"spider monkey, Ateles geoffroyi"
common squirrel monkey,"squirrel monkey, Saimiri sciureus"
ring-tailed lemur,"Madagascar cat, ring-tailed lemur, Lemur catta"
indri,"indri, indris, Indri indri, Indri brevicaudatus"
Asian elephant,"Indian elephant, Elephas maximus"
African bush elephant,"African elephant, Loxodonta africana"
red panda,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens"
giant panda,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca"
snoek fish,"barracouta, snoek"
eel,eel
silver salmon,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
rock beauty fish,"rock beauty, Holocanthus tricolor"
clownfish,anemone fish
sturgeon,sturgeon
gar fish,"gar, garfish, garpike, billfish, Lepisosteus osseus"
lionfish,lionfish
pufferfish,"puffer, pufferfish, blowfish, globefish"
abacus,abacus
abaya,abaya
academic gown,"academic gown, academic robe, judge's robe"
accordion,"accordion, piano accordion, squeeze box"
acoustic guitar,acoustic guitar
aircraft carrier,"aircraft carrier, carrier, flattop, attack aircraft carrier"
airliner,airliner
airship,"airship, dirigible"
altar,altar
ambulance,ambulance
amphibious vehicle,"amphibian, amphibious vehicle"
analog clock,analog clock
apiary,"apiary, bee house"
apron,apron
trash can,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin"
assault rifle,"assault rifle, assault gun"
backpack,"backpack, back pack, knapsack, packsack, rucksack, haversack"
bakery,"bakery, bakeshop, bakehouse"
balance beam,"balance beam, beam"
balloon,balloon
ballpoint pen,"ballpoint, ballpoint pen, ballpen, Biro"
Band-Aid,Band Aid
banjo,banjo
baluster / handrail,"bannister, banister, balustrade, balusters, handrail"
barbell,barbell
barber chair,barber chair
barbershop,barbershop
barn,barn
barometer,barometer
